schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,AI Ecosystem Directory,https://github.com/arcee-ai,arcee-ai,20,2026-09-03T10:26:14.603809Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/naver-ai,naver-ai,20,2026-09-03T10:26:14.603812Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/girafe-ai,girafe-ai,20,2026-09-03T10:26:14.603816Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/01-ai,01-ai,20,2026-09-03T10:26:14.603819Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/AI4Bharat,AI4Bharat,20,2026-09-03T10:26:14.603823Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/hyperai,hyperai,20,2026-09-03T10:26:14.603827Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/sarvamai,sarvamai,20,2026-09-03T10:26:14.603830Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/tile-ai,tile-ai,20,2026-09-03T10:26:14.603834Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/different-ai,different-ai,20,2026-09-03T10:26:14.603838Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/kby-ai,kby-ai,20,2026-09-03T10:26:14.603843Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/AIRI-Institute,AIRI-Institute,20,2026-09-03T10:26:14.603847Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/aisingapore,aisingapore,20,2026-09-03T10:26:14.603850Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/OptimaiNetwork,OptimaiNetwork,20,2026-09-03T10:26:14.603853Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/valeoai,valeoai,20,2026-09-03T10:26:14.603856Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/aiplanethub,aiplanethub,20,2026-09-03T10:26:14.603861Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/i-dot-ai,i-dot-ai,20,2026-09-03T10:26:14.603864Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/tracel-ai,tracel-ai,20,2026-09-03T10:26:14.603867Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/hyperspaceai,hyperspaceai,20,2026-09-03T10:26:14.603871Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/agentscope-ai,agentscope-ai,20,2026-09-03T10:26:14.603875Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/protectai,protectai,20,2026-09-03T10:26:14.603878Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/AssemblyAI,AssemblyAI,20,2026-09-03T10:26:14.603881Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/khoj-ai,khoj-ai,20,2026-09-03T10:26:14.603884Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/leptonai,leptonai,20,2026-09-03T10:26:14.603888Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/AI-Hobbyist,AI-Hobbyist,20,2026-09-03T10:26:14.603891Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/alan-ai,alan-ai,20,2026-09-03T10:26:14.603895Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/furiosa-ai,furiosa-ai,20,2026-09-03T10:26:14.603898Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/RobotecAI,RobotecAI,20,2026-09-03T10:26:14.603903Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/abacusai,abacusai,20,2026-09-03T10:26:14.603907Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/AI-secure,AI-secure,20,2026-09-03T10:26:14.603912Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/open-gigaai,open-gigaai,20,2026-09-03T10:26:14.603915Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/castai,castai,20,2026-09-03T10:26:14.603919Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/unit-mesh,unit-mesh,20,2026-09-03T10:26:14.603922Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/camel-ai,camel-ai,20,2026-09-03T10:26:14.603926Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/Tele-AI,Tele-AI,20,2026-09-03T10:26:14.603929Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/guardrails-ai,guardrails-ai,20,2026-09-03T10:26:14.603933Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/BloopAI,BloopAI,20,2026-09-03T10:26:14.603936Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/vanna-ai,vanna-ai,20,2026-09-03T10:26:14.603939Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/nod-ai,nod-ai,20,2026-09-03T10:26:14.603943Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/nearai,nearai,20,2026-09-03T10:26:14.603947Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/HumeAI,HumeAI,20,2026-09-03T10:26:14.603950Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/AI-Hypercomputer,AI-Hypercomputer,20,2026-09-03T10:26:14.603953Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/NeonGeckoCom,NeonGeckoCom,20,2026-09-03T10:26:14.603956Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/materialyzeai,materialyzeai,20,2026-09-03T10:26:14.603961Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/AISCIENCES,AISCIENCES,20,2026-09-03T10:26:14.603966Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/lumalabs,lumalabs,20,2026-09-03T10:26:14.603969Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/instill-ai,instill-ai,20,2026-09-03T10:26:14.603972Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/Aider-AI,Aider-AI,20,2026-09-03T10:26:14.603976Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/pollinations,pollinations,20,2026-09-03T10:26:14.603979Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/hpcaitech,hpcaitech,20,2026-09-03T10:26:14.603984Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/PygmalionAI,PygmalionAI,20,2026-09-03T10:26:16.381716Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/neptune-ai,neptune-ai,20,2026-09-03T10:26:16.381728Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/smallcloudai,smallcloudai,20,2026-09-03T10:26:16.381732Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/KlingAIResearch,KlingAIResearch,20,2026-09-03T10:26:16.381736Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/rtk-ai,rtk-ai,20,2026-09-03T10:26:16.381738Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/sweepai,sweepai,20,2026-09-03T10:26:16.381741Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/octoml,octoml,20,2026-09-03T10:26:16.381744Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/lamini-ai,lamini-ai,20,2026-09-03T10:26:16.381747Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/AI4Finance-Foundation,AI4Finance-Foundation,20,2026-09-03T10:26:16.381750Z
1.0,STARTUP,AI Ecosystem Directory,https://github.com/QuixiAI,QuixiAI,20,2026-09-03T10:26:16.381755Z
