schemaVersion,recordType,content.company,content.date,content.is_remote,content.role_family,source.url,collectedAt
1.0,JOB,HackerNews Who is Hiring,2026-09-02T13:59:59+00:00,True,Engineering,https://trellner.com/reports/manufactured-sources-behind-ai-recommendations/,2026-09-03T10:33:00.048575+00:00
1.0,JOB,HackerNews Who is Hiring,2026-09-02T12:30:39+00:00,True,Engineering,https://help.mistral.ai/en/articles/455207-can-i-opt-out-of-my-input-or-output-data-being-used-for-training,2026-09-03T10:33:00.048630+00:00
1.0,JOB,HackerNews Who is Hiring,2026-09-02T12:59:09+00:00,True,Engineering,https://studyfinds.com/aging-brains-blend-memories-together-instead-of-forgetting-them-study-finds/,2026-09-03T10:33:00.048693+00:00
1.0,JOB,HackerNews Who is Hiring,2026-09-02T18:42:41+00:00,True,Engineering,https://admiralcloudberg.medium.com/a-matter-of-millimeters-the-story-of-qantas-flight-32-bdaa62dc98e7,2026-09-03T10:33:00.048712+00:00
1.0,JOB,HackerNews Who is Hiring,2026-09-02T20:08:22+00:00,True,Engineering,https://images.gatesnotes.com/12514eb8-7b51-008e-41a9-512542cf683b/34d561c8-cf5c-4e69-af47-3782ea11482e/Original-Microsoft-Source-Code.pdf,2026-09-03T10:33:00.048758+00:00
